1,villaroger,1200
2,2,1425
3,3,2135
4,4,2458
5,aiguille-rouge,3226
6,6,2158
7,arc2000,2120
8,pre-saint-esprit,1822
9,9,2120
10,10,2015
11,11,2195
12,12,2670
13,grand-col,2835
14,14,2446
15,arpette,2418
16,16,2296
17,17,2375
18,18,2314
19,deux-tetes,2285
20,20,2063
21,21,2160
22,22,2230
23,col-des-frettes,2384
24,24,2280
25,25,2294
26,col-de-la-chal,2600
27,27,2275
28,28,1750
29,29,1850
30,arc1600,1613
31,31,2050
32,col-du-grand-renard,2454
33,33,2150
34,34,1920
35,35,1830
36,arc1800,1715
37,37,2100
